id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
468	Rotes Kreuz befürchtet humanitäre Katastrophe	1	0	1	0	0	0	0	0	0
477	USA liefern Waffen  an Saudis nicht aus	1	1	0	0	0	0	0	0	0
478	Zündstoff	0	1	0	0	0	0	0	1	0
480	Jemen bittet Vereinte Nationen um Bodentruppen	1	1	0	0	0	0	0	1	0
485	Gestolpert im Hinterhof	0	1	0	0	0	0	0	1	0
490	Das Leiden wird schlimmer	1	0	0	0	1	0	0	0	0
506	Aufräumen  im Hinterhof	1	0	0	0	0	0	0	1	0
508	Saudi-Arabien greift in Jemen ein	1	1	0	0	0	0	0	0	0
514	Saudi-Arabien greift ein	1	1	0	0	0	0	0	0	0
544	Jemen: Journalist getötet	1	1	0	0	0	1	0	0	0
547	Druck ist nötig	0	0	0	0	1	1	0	0	0
553	Hilfe für Jemen gefordert	0	0	0	0	1	0	0	1	0
563	Zwölf   Kilo	1	1	0	0	1	0	0	0	0
566	Jemen wird zu Saudi-Arabiens Albtraum	1	0	0	0	0	0	0	0	1
568	Jemen wird zu Saudi-Arabiens Albtraum	1	0	0	0	0	0	0	0	1
569	Es fehlt an Dolmetschern	1	0	0	0	0	0	1	0	0
570	Söldnerpläne aus dem Schwarzwald	1	1	0	0	0	0	0	0	0
572	Zwischen Erzfeinden	1	0	1	0	0	0	0	0	0
584	Bundesregierung genehmigt Waffenexporte an Kriegsallianz	2	2	0	0	0	0	0	1	0
590	Versorgung unter Beschuss	1	0	0	0	1	0	0	1	0
591	Angriff auf die Lebensader	1	0	0	0	1	0	0	0	0
600	Wenig Spenden für Jemen	0	1	0	0	0	0	0	1	0
601	Zwischen Leben und Tod	0	1	0	0	0	1	0	1	0
602	Leben am  Abgrund	0	1	0	0	0	0	0	1	0
604	Zwischen Leben und Tod	0	1	1	0	0	1	0	1	0
605	Hilfe für Hungerleidende	0	0	0	0	2	0	0	2	0
608	Schwere Kämpfe verschlimmern humanitäre Krise in Jemen	1	0	0	0	0	0	1	1	0
612	"Im Jemen-Krieg werden  ""Tornados"" eingesetzt"	1	1	0	0	0	0	0	1	0
615	Deutschland will Beobachter nach Jemen schicken	0	1	1	0	0	0	0	0	0
621	Der vergessene Krieg	1	0	0	0	1	0	0	0	0
623	Der Tod kommt aus dem Exil	0	0	0	0	1	0	0	1	0
626	Saudi-Arabien bereitet Sturm auf Sanaa vor	1	1	0	1	0	0	0	0	0
638	Aufmarsch  in Aden	1	1	0	0	0	0	0	0	0
650	Die Welt schaut weg	1	0	0	0	0	1	0	0	0
657	Milliarden-Hilfe für Jemen	2	0	1	0	0	0	0	2	0
663	Markt in Jemen bombardiert	1	0	0	0	0	0	0	0	1
665	Leben in Ruinen	1	1	0	0	1	0	0	0	0
666	Lieferziel: Krieg	0	1	0	0	0	0	0	0	1
674	Ein Mandat zum Einmarsch	1	1	1	0	0	0	0	0	0
681	USA greifen in Jemen ein	1	1	0	0	0	0	0	0	0
